year,amount,country_name,indicator,indicator_name
2000,468395521654.458,India,NY.GDP.MKTP.CD,GDP (current USD)
2001,485440139204.171,India,NY.GDP.MKTP.CD,GDP (current USD)
2002,514939140318.756,India,NY.GDP.MKTP.CD,GDP (current USD)
2003,607700687237.318,India,NY.GDP.MKTP.CD,GDP (current USD)
2004,709152728830.775,India,NY.GDP.MKTP.CD,GDP (current USD)
2005,820383763511.445,India,NY.GDP.MKTP.CD,GDP (current USD)
2006,940259888787.721,India,NY.GDP.MKTP.CD,GDP (current USD)
2007,1216736438834.96,India,NY.GDP.MKTP.CD,GDP (current USD)
2008,1198895139005.92,India,NY.GDP.MKTP.CD,GDP (current USD)
2009,1341888016994.9,India,NY.GDP.MKTP.CD,GDP (current USD)
2010,1675615519484.96,India,NY.GDP.MKTP.CD,GDP (current USD)
2011,1823051829894.55,India,NY.GDP.MKTP.CD,GDP (current USD)
2012,1827637590410.41,India,NY.GDP.MKTP.CD,GDP (current USD)
2013,1856721507621.58,India,NY.GDP.MKTP.CD,GDP (current USD)
2014,2039126479154.52,India,NY.GDP.MKTP.CD,GDP (current USD)
2015,2103588360044.94,India,NY.GDP.MKTP.CD,GDP (current USD)
2016,2294796885663.16,India,NY.GDP.MKTP.CD,GDP (current USD)
2017,2651474262755.45,India,NY.GDP.MKTP.CD,GDP (current USD)
2018,2702929641648.74,India,NY.GDP.MKTP.CD,GDP (current USD)
2019,2835606256558.19,India,NY.GDP.MKTP.CD,GDP (current USD)
2020,2674851578587.27,India,NY.GDP.MKTP.CD,GDP (current USD)
2021,3167270623260.47,India,NY.GDP.MKTP.CD,GDP (current USD)
2022,3249938492013.47,India,NY.GDP.MKTP.CD,GDP (current USD)
2023,3500906030644.76,India,NY.GDP.MKTP.CD,GDP (current USD)
2000,2.94892990622572,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2001,2.9244355462896,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2002,2.82686683045838,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2003,2.67777693222748,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2004,2.82875224798105,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2005,2.91058750164482,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2006,2.68038156022763,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2007,2.47824652803557,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2008,2.63146078124112,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2009,3.12938472737472,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2010,2.88946327164641,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2011,2.70448222276966,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2012,2.61816634758562,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2013,2.5488248901417,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2014,2.54398176462257,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2015,2.45745006060163,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2016,2.54315152114541,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2017,2.53151136056791,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2018,2.42428452604417,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2019,2.5459982314359,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2020,2.80361581112679,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2021,2.46874153034185,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2022,2.38309809835882,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2023,2.35679426678262,India,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2000,1057922733.0,India,SP.POP.TOTL,Population
2001,1077898575.0,India,SP.POP.TOTL,Population
2002,1097600380.0,India,SP.POP.TOTL,Population
2003,1116803006.0,India,SP.POP.TOTL,Population
2004,1135991513.0,India,SP.POP.TOTL,Population
2005,1154676322.0,India,SP.POP.TOTL,Population
2006,1172878890.0,India,SP.POP.TOTL,Population
2007,1190676021.0,India,SP.POP.TOTL,Population
2008,1207930964.0,India,SP.POP.TOTL,Population
2009,1225524753.0,India,SP.POP.TOTL,Population
2010,1243481564.0,India,SP.POP.TOTL,Population
2011,1261224954.0,India,SP.POP.TOTL,Population
2012,1278674502.0,India,SP.POP.TOTL,Population
2013,1295829511.0,India,SP.POP.TOTL,Population
2014,1312277191.0,India,SP.POP.TOTL,Population
2015,1328024498.0,India,SP.POP.TOTL,Population
2016,1343944296.0,India,SP.POP.TOTL,Population
2017,1359657400.0,India,SP.POP.TOTL,Population
2018,1374659064.0,India,SP.POP.TOTL,Population
2019,1389030312.0,India,SP.POP.TOTL,Population
2020,1402617695.0,India,SP.POP.TOTL,Population
2021,1414203896.0,India,SP.POP.TOTL,Population
2022,1425423212.0,India,SP.POP.TOTL,Population
2023,1438069596.0,India,SP.POP.TOTL,Population
2000,442.750218937263,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2001,450.357900514128,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2002,469.149928973927,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2003,544.143133545002,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2004,624.258826510066,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2005,710.488080408949,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2006,801.668353659022,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2007,1021.88707706826,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2008,992.519584923828,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2009,1094.94974598436,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2010,1347.51939071367,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2011,1445.46127486037,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2012,1429.32199520032,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2013,1432.84397512195,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2014,1553.88396075118,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2015,1583.99815907985,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2016,1707.50892912243,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2017,1950.10468280866,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2018,1966.25455171679,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2019,2041.42863698585,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2020,1907.04251637669,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2021,2239.61384367482,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2022,2279.98145719369,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2023,2434.44826340989,India,NY.GDP.PCAP.CD,GDP per capita (USD)
2000,1223754919971.05,China,NY.GDP.MKTP.CD,GDP (current USD)
2001,1355036590251.52,China,NY.GDP.MKTP.CD,GDP (current USD)
2002,1489821682050.54,China,NY.GDP.MKTP.CD,GDP (current USD)
2003,1683903309843.85,China,NY.GDP.MKTP.CD,GDP (current USD)
2004,1984196551300.44,China,NY.GDP.MKTP.CD,GDP (current USD)
2005,2317551298052.05,China,NY.GDP.MKTP.CD,GDP (current USD)
2006,2791498472804.33,China,NY.GDP.MKTP.CD,GDP (current USD)
2007,3604055822571.63,China,NY.GDP.MKTP.CD,GDP (current USD)
2008,4667346414521.95,China,NY.GDP.MKTP.CD,GDP (current USD)
2009,5189577094997.58,China,NY.GDP.MKTP.CD,GDP (current USD)
2010,6192564874453.29,China,NY.GDP.MKTP.CD,GDP (current USD)
2011,7671757207851.29,China,NY.GDP.MKTP.CD,GDP (current USD)
2012,8673664713189.24,China,NY.GDP.MKTP.CD,GDP (current USD)
2013,9743124247267.24,China,NY.GDP.MKTP.CD,GDP (current USD)
2014,10674533168257.4,China,NY.GDP.MKTP.CD,GDP (current USD)
2015,11280814787468.9,China,NY.GDP.MKTP.CD,GDP (current USD)
2016,11456024084962.0,China,NY.GDP.MKTP.CD,GDP (current USD)
2017,12537559062282.9,China,NY.GDP.MKTP.CD,GDP (current USD)
2018,14147765772963.8,China,NY.GDP.MKTP.CD,GDP (current USD)
2019,14560167101283.4,China,NY.GDP.MKTP.CD,GDP (current USD)
2020,14996414166715.1,China,NY.GDP.MKTP.CD,GDP (current USD)
2021,18201698719564.0,China,NY.GDP.MKTP.CD,GDP (current USD)
2022,18316765021690.2,China,NY.GDP.MKTP.CD,GDP (current USD)
2023,18270356654533.2,China,NY.GDP.MKTP.CD,GDP (current USD)
2000,1.83575968454189,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2001,1.98308624365796,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2002,2.05936465293746,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2003,1.99628893565843,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2004,1.93850823279804,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2005,1.87185802294835,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2006,1.8695916362794,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2007,1.75016458545192,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2008,1.71604254580499,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2009,1.89352379603523,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2010,1.73351986212832,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2011,1.65908251595704,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2012,1.70094267160117,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2013,1.7143409229625,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2014,1.73840928794394,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2015,1.77677106896806,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2016,1.7688865902507,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2017,1.71124264388853,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2018,1.67357820944542,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2019,1.68291101151296,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2020,1.75669947098837,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2021,1.60525971842503,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2022,1.63053389156959,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2023,1.66484889659813,China,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2000,1262645000.0,China,SP.POP.TOTL,Population
2001,1271850000.0,China,SP.POP.TOTL,Population
2002,1280400000.0,China,SP.POP.TOTL,Population
2003,1288400000.0,China,SP.POP.TOTL,Population
2004,1296075000.0,China,SP.POP.TOTL,Population
2005,1303720000.0,China,SP.POP.TOTL,Population
2006,1311020000.0,China,SP.POP.TOTL,Population
2007,1317885000.0,China,SP.POP.TOTL,Population
2008,1324655000.0,China,SP.POP.TOTL,Population
2009,1331260000.0,China,SP.POP.TOTL,Population
2010,1337705000.0,China,SP.POP.TOTL,Population
2011,1345035000.0,China,SP.POP.TOTL,Population
2012,1354190000.0,China,SP.POP.TOTL,Population
2013,1363240000.0,China,SP.POP.TOTL,Population
2014,1371860000.0,China,SP.POP.TOTL,Population
2015,1379860000.0,China,SP.POP.TOTL,Population
2016,1387790000.0,China,SP.POP.TOTL,Population
2017,1396215000.0,China,SP.POP.TOTL,Population
2018,1402760000.0,China,SP.POP.TOTL,Population
2019,1407745000.0,China,SP.POP.TOTL,Population
2020,1411100000.0,China,SP.POP.TOTL,Population
2021,1412360000.0,China,SP.POP.TOTL,Population
2022,1412175000.0,China,SP.POP.TOTL,Population
2023,1410710000.0,China,SP.POP.TOTL,Population
2000,969.199513696287,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2001,1065.40597574519,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2002,1163.55957673426,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2003,1306.97245408557,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2004,1530.92726215723,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2005,1777.64496828464,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2006,2129.25696999613,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2007,2734.72709877693,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2008,3523.44302065213,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2009,3898.24459158811,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2010,4629.24551710077,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2011,5703.76027973346,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2012,6405.0574241349,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2013,7147.03518622344,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2014,7781.06597484974,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2015,8175.33285077393,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2016,8254.86859320357,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2017,8979.67652709856,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2018,10085.6638148819,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2019,10342.9009524335,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2020,10627.4637989619,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2021,12887.4357242941,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2022,12970.6056414327,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2023,12951.1782397043,China,NY.GDP.PCAP.CD,GDP per capita (USD)
2000,10250952000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2001,10581929000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2002,10929108000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2003,11456450000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2004,12217196000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2005,13039197000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2006,13815583000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2007,14474228000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2008,14769862000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2009,14478067000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2010,15048971000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2011,15599732000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2012,16253970000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2013,16880683000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2014,17608138000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2015,18295019000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2016,18804913000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2017,19612102000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2018,20656516000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2019,21539982000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2020,21375281000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2021,23725645000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2022,26054614000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2023,27811517000000.0,United States,NY.GDP.MKTP.CD,GDP (current USD)
2000,3.11224214697679,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2001,3.12380980266703,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2002,3.44761809928778,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2003,3.82716104473623,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2004,4.01631273640692,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2005,4.08923187524508,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2006,4.04134230166038,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2007,4.07335051467688,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2008,4.44659552156261,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2009,4.87576835879774,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2010,4.90402300595835,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2011,4.82244197600452,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2012,4.4617099699335,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2013,4.02370560438155,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2014,3.67891817387645,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2015,3.46449292564277,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2016,3.40260233575118,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2017,3.2977234873792,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2018,3.3040005391035,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2019,3.40921408383721,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2020,3.64518757294704,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2021,3.40451991574826,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2022,3.30947715843109,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2023,3.304441637598,United States,MS.MIL.XPND.GD.ZS,Military spending (% of GDP)
2000,282162411.0,United States,SP.POP.TOTL,Population
2001,284968955.0,United States,SP.POP.TOTL,Population
2002,287625193.0,United States,SP.POP.TOTL,Population
2003,290107933.0,United States,SP.POP.TOTL,Population
2004,292805298.0,United States,SP.POP.TOTL,Population
2005,295516599.0,United States,SP.POP.TOTL,Population
2006,298379912.0,United States,SP.POP.TOTL,Population
2007,301231207.0,United States,SP.POP.TOTL,Population
2008,304093966.0,United States,SP.POP.TOTL,Population
2009,306771529.0,United States,SP.POP.TOTL,Population
2010,309378227.0,United States,SP.POP.TOTL,Population
2011,311839461.0,United States,SP.POP.TOTL,Population
2012,314339099.0,United States,SP.POP.TOTL,Population
2013,316726282.0,United States,SP.POP.TOTL,Population
2014,319257560.0,United States,SP.POP.TOTL,Population
2015,321815121.0,United States,SP.POP.TOTL,Population
2016,324353340.0,United States,SP.POP.TOTL,Population
2017,326608609.0,United States,SP.POP.TOTL,Population
2018,328529577.0,United States,SP.POP.TOTL,Population
2019,330226227.0,United States,SP.POP.TOTL,Population
2020,331578104.0,United States,SP.POP.TOTL,Population
2021,332100166.0,United States,SP.POP.TOTL,Population
2022,333996304.0,United States,SP.POP.TOTL,Population
2023,336755052.0,United States,SP.POP.TOTL,Population
2000,36329.9702595751,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2001,37133.6203973517,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2002,37997.7424300242,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2003,39490.3023903176,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2004,41724.6411982614,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2005,44123.3996470026,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2006,46301.9876485519,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2007,48050.227412195,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2008,48570.0594269601,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2009,47194.9500893872,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2010,48642.6312088213,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2011,50024.8812320773,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2012,51708.3940614082,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2013,53297.3862901595,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2014,55153.3940182967,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2015,56849.4697923159,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2016,57976.628204291,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2017,60047.7190728307,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2018,62875.6661382728,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2019,65227.9565911038,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2020,64465.2971415748,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2021,71441.2319805947,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2022,78008.6895811877,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2023,82586.7847707894,United States,NY.GDP.PCAP.CD,GDP per capita (USD)
2000,99484802344.5277,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2001,97145618479.9038,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2002,97923302809.3537,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2003,112371913740.823,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2004,132216048339.413,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2005,145208562960.767,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2006,161871385506.36,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2007,184140869997.46,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2008,202203748583.854,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2009,187337783856.466,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2010,196709621849.586,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2011,230586581059.665,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2012,250106966104.704,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
2013,258657231672.412,Pakistan,NY.GDP.MKTP.CD,GDP (current USD)
